"","id","price_day","f_property_type","f_neighbourhood","n_accommodates","n_bathrooms","n_minimum_nights","n_beds","n_review_scores_rating","n_number_of_reviews","n_bedrooms","d_instant_bookable","d_wifi","d_refrigerator","d_air_conditioning","d_baby","d_beach","d_stove","d_free_parking","d_office","d_coffee_maker","d_garden","d_gym"
"9484",662391494623792384,1217,"rental","Besiktas",4,1.5,7,2,4.83,0,2,"t","1","1","0","0","0","1","1","0","1","1","0"
"9485",662412971688361472,3924,"rental","Beyoglu",6,2,2,2,4,1,2,"f","1","1","1","0","0","1","0","0","0","0","0"
"9486",662425937968864640,711,"rental","Fatih",3,1,7,2,4,1,2,"f","1","1","0","1","0","1","1","0","0","0","0"
"9487",662639101575621248,1513,"rental","Beyoglu",4,1,2,1,5,10,1,"f","1","1","0","0","0","0","0","0","0","0","0"
"9488",662655504906169088,1775,"rental","Beyoglu",4,1,3,1,5,7,1,"f","1","1","0","0","0","0","0","0","0","0","0"
"9489",662663536939693440,1551,"rental","Beyoglu",4,1,3,1,4.75,8,1,"f","1","1","1","0","0","0","0","0","0","0","0"
"9490",662669855933694976,1200,"rental","Uskudar",2,1,2,2,5,7,1,"f","1","1","0","0","0","1","0","0","1","0","0"
"9491",662669987948110720,1687,"rental","Beyoglu",4,1,3,1,5,11,1,"t","1","1","0","0","0","1","0","0","0","0","0"
"9492",662690016627444736,2321,"rental","Sisli",5,1,1,2,4.83,0,2,"f","1","1","1","0","0","1","0","0","1","0","0"
"9493",662700910953945088,1714,"rental","Sisli",5,1,1,2,4.5,6,2,"f","1","1","1","0","0","1","0","0","1","0","0"
"9494",662717768220350976,1417,"rental","Beyoglu",2,1,3,1,4.86,14,1,"f","1","1","0","0","0","0","0","0","0","0","0"
"9495",662733254840516864,3048,"apartment","Fatih",4,1,1,2,4.83,0,1,"t","1","0","1","0","0","0","0","0","0","0","0"
"9496",662765756046789760,1000,"rental","Besiktas",3,1,1,2,5,1,1,"f","1","0","0","0","0","0","0","0","0","0","0"
"9497",662774461981294080,1357,"rental","Kadikoy",2,1,2,1,4.81,16,1,"t","1","1","0","0","0","0","0","0","1","0","0"
"9498",662778221986100224,936,"rental","Avcilar",4,2,4,4,5,1,2,"t","1","0","1","0","0","0","1","0","0","0","0"
"9499",662787432934658560,450,"rental","Fatih",2,1,1,2,4.8,5,1,"f","1","1","0","0","0","1","0","0","0","1","0"
"9500",662799307431739904,968,"rental","Kadikoy",3,1,1,2,5,14,1,"f","1","1","0","0","0","1","0","0","0","0","0"
"9501",662838140671299584,1310,"rental","Uskudar",3,1,4,2,5,5,1,"f","1","1","1","0","0","1","0","0","1","0","0"
"9502",662863934223678080,639,"rental","Kartal",3,1,4,3,5,4,2,"f","1","1","0","0","1","1","0","0","1","0","0"
"9503",662866162387155712,900,"rental","Fatih",4,1,5,2,5,2,2,"f","1","1","0","0","0","1","0","0","0","1","0"
"9504",662873517391053056,1800,"rental","Besiktas",4,1,3,2,4.2,10,2,"t","1","1","0","0","0","1","0","0","0","0","0"
"9505",662930281755318016,1133,"rental","Fatih",6,2,90,6,5,2,4,"f","1","1","0","0","0","1","1","0","0","0","0"
"9506",662951382560691584,2777,"rental","Sisli",6,1,1,4,4.83,0,2,"t","1","1","1","0","0","1","0","0","1","0","0"
"9507",662959590363524864,1100,"rental","Uskudar",4,1,14,4,5,3,2,"f","1","1","0","0","0","1","0","0","1","1","0"
"9508",662969280570396288,1000,"rental","Sisli",4,1,1,3,5,2,1,"f","1","0","1","0","0","0","0","0","0","0","0"
"9509",662983466623620096,1050,"rental","Sisli",5,1,3,2,4.83,0,2,"f","1","1","1","0","0","1","1","0","1","0","0"
"9510",662991879281309696,1000,"rental","Beylikduzu",3,1,3,1,4.83,0,1,"f","1","0","1","0","0","0","1","0","0","0","0"
"9511",662992365911948544,1085,"rental","Besiktas",4,1,1,3,5,1,2,"f","1","1","1","0","1","1","1","0","1","0","0"
"9512",662994481606106752,1398,"rental","Sisli",5,1,1,2,5,2,2,"f","1","1","0","0","0","1","1","0","1","0","0"
"9513",663002641649564928,1123,"rental","Kadikoy",6,1,2,3,5,4,3,"f","1","1","0","0","0","1","0","0","1","0","0"
"9514",663015442970823936,1527,"rental","Sisli",3,1,1,1,5,12,1,"f","1","1","1","0","0","1","0","0","1","0","0"
